"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Asia/Irkutsk","IRKT","Irkutsk Time","IRKST","Irkutsk Summer Time","+08:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Istanbul","TRT","Turkey Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Jakarta","WIB","Western Indonesia Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Jayapura","WIT","Eastern Indonesia Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Jerusalem","IST","Israel Standard Time","IDT","Israel Daylight Time","+02:00:00","+01:00:00","1;0;4","+01:00:00","1;0;10","+01:00:00"
"Asia/Kabul","AFT","Afghanistan Time","","","+04:30:00","+00:00:00","","","","+00:00:00"
"Asia/Kamchatka","PETT","Petropavlovsk-Kamchatski Time","PETST","Petropavlovsk-Kamchatski Summer Time","+12:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Karachi","PKT","Pakistan Standard Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kashgar","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kathmandu","NPT","Nepal Time","","","+05:45:00","+00:00:00","","","","+00:00:00"
"Asia/Katmandu","NPT","Nepal Time","","","+05:45:00","+00:00:00","","","","+00:00:00"
"Asia/Khandyga","YAKT","Yakutsk Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kolkata","IST","Indian Standard Time","","","+05:30:00","+00:00:00","","","","+00:00:00"
"Asia/Krasnoyarsk","KRAT","Krasnoyarsk Time","KRAST","Krasnoyarsk Summer Time","+07:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Kuala_Lumpur","MYT","Malaysia Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kuching","MYT","Malaysia Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kuwait","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Macao","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Macau","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Magadan","MAGT","Magadan Time","MAGST","Magadan Summer Time","+11:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Makassar","CIT","Central Indonesia Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Manila","PHT","Philippine Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Muscat","GST","Gulf Standard Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Asia/Nicosia","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Asia/Novokuznetsk","KRAT","Krasnoyarsk Standard Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Novosibirsk","NOVT","Novosibirsk Time","NOVST","Novosibirsk Summer Time","+06:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Omsk","OMST","Omsk Time","OMSST","Omsk Summer Time","+06:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Oral","WST","West Kazakhstan Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Phnom_Penh","ICT","Indochina Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Pontianak","WIT","Western Indonesia Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Pyongyang","KST","Korea Standard Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Qatar","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Qostanay","QOST","Qostanay Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Asia/Qyzylorda","KST","Kyzylorda Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Asia/Rangoon","MMT","Myanmar Time","","","+06:30:00","+00:00:00","","","","+00:00:00"
"Asia/Riyadh","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Saigon","ICT","Indochina Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Sakhalin","SAKT","Sakhalin Time","SAKST","Sakhalin Summer Time","+10:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Samarkand","UZT","Uzbekistan Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Seoul","KST","Korea Standard Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Shanghai","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Singapore","SGT","Singapore Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Srednekolymsk","SRET","Srednekolymsk Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Asia/Taipei","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Tashkent","UZT","Uzbekistan Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Tbilisi","GET","Georgia Standard Time","GEST","Georgia Summer Time","+04:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+00:00:00"
"Asia/Tehran","IRT","Iran Time","","","+03:30:00","+00:00:00","","","","+00:00:00"
"Asia/Thimphu","BTT","Bhutan Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Asia/Tokyo","JST","Japan Standard Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Tomsk","TOMT","Tomsk Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Ujung_Pandang","CIT","Central Indonesia Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Ulaanbaatar","ULAT","Ulaanbaatar Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Urumqi","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Ust-Nera","USAT","Ust-Nera Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Asia/Vientiane","ICT","Indochina Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Vladivostok","VLAT","Vladivostok Time","VLAST","Vladivostok Summer Time","+10:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Yakutsk","YAKT","Yakutsk Time","YAKST","Yakutsk Summer Time","+09:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Yangon","MMT","Myanmar Time","","","+06:30:00","+00:00:00","","","","+00:00:00"
"Asia/Yekaterinburg","YEKT","Yekaterinburg Time","YEKST","Yekaterinburg Summer Time","+05:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Yerevan","AMT","Armenia Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Atlantic/Azores","AZOT","Azores Standard Time","AZOST","Azores Summer Time","-01:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+01:00:00"
"Atlantic/Bermuda","AST","Atlantic Standard Time","ADT","Atlantic Daylight Time","-04:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"Atlantic/Canary","WET","Western European Time","WEST","Western European Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Atlantic/Cape_Verde","CVT","Cape Verde Time","","","-01:00:00","+00:00:00","","","","+00:00:00"
"Atlantic/Faeroe","WET","Western European Time","WEST","Western European Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Atlantic/Faroe","WET","Western European Time","WEST","Western European Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+01:00:00"
"Atlantic/Jan_Mayen","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Atlantic/Madeira","WET","Western European Time","WEST","Western European Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Atlantic/Reykjavik","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Atlantic/South_Georgia","GST","South Georgia Time","","","-02:00:00","+00:00:00","","","","+00:00:00"
"Atlantic/St_Helena","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Atlantic/Stanley","FKT","Falkland Islands Time","Falkland Islands Summer Time","FKST","-04:00:00","+01:00:00","1;0;9","+02:00:00","3;0;4","+02:00:00"
"Australia/Adelaide","ACST","Australian Central Standard Time","ACDT","Australian Central Daylight Time","+09:30:00","+01:00:00","1;0;10","+02:00:00","1;0;3","+03:00:00"
"Australia/Brisbane","AEST","Australian Eastern Standard Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Australia/Broken_Hill","ACST","Australian Central Standard Time","ACDT","Australian Central Daylight Time","+09:30:00","+01:00:00","1;0;10","+02:00:00","1;0;3","+03:00:00"
"Australia/Darwin","ACST","Australian Central Standard Time","","","+09:30:00","+00:00:00","","","","+00:00:00"
"Australia/Eucla","ACWST","Australian Central Western Standard Time","","","+08:45:00","+00:00:00","","","","+00:00:00"
"Australia/Hobart","AEST","Australian Eastern Standard Time","AEDT","Australian Eastern Daylight Time","+10:00:00","+01:00:00","1;0;10","+02:00:00","1;0;3","+03:00:00"
"Australia/Lindeman","AEST","Australian Eastern Standard Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Australia/Lord_Howe","LHST","Lord Howe Standard Time","LHDT","Lord Howe Daylight Time","+10:30:00","+00:30:00","1;0;10","+02:00:00","1;0;3","+02:00:00"
"Australia/Melbourne","AEST","Australian Eastern Standard Time","AEDT","Australian Eastern Daylight Time","+10:00:00","+01:00:00","1;0;10","+02:00:00","1;0;3","+03:00:00"
"Australia/Perth","AWST","Australian Western Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Australia/Sydney","AEST","Australian Eastern Standard Time","AEDT","Australian Eastern Daylight Time","+10:00:00","+01:00:00","1;0;10","+02:00:00","1;0;3","+03:00:00"
"Europe/Amsterdam","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Andorra","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Astrakhan","AST","Astrakhan Standard Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Europe/Athens","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Belfast","GMT","Greenwich Mean Time","BST","BST","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Belgrade","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Berlin","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Bratislava","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Brussels","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Bucharest","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Budapest","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Busingen","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+02:00:00"
"Europe/Chisinau","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Copenhagen","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Dublin","GMT","Greenwich Mean Time","IST","IST","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Gibraltar","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Guernsey","GMT","Greenwich Mean Time","BST","British Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Helsinki","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Isle_of_Man","GMT","Greenwich Mean Time","BST","British Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Istanbul","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Jersey","GMT","Greenwich Mean Time","BST","British Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Kaliningrad","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Kiev","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Kirov","MSK","Moscow Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Europe/Kyiv","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Lisbon","WET","Western European Time","WEST","Western European Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Ljubljana","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/London","GMT","Greenwich Mean Time","BST","British Summer Time","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"Europe/Luxembourg","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Madrid","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Malta","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Mariehamn","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Minsk","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Monaco","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Moscow","MSK","Moscow Standard Time","MSD","Moscow Summer Time","+03:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Nicosia","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Oslo","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Paris","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Podgorica","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Prague","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Riga","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Rome","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Samara","SAMT","Samara Time","SAMST","Samara Summer Time","+04:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/San_Marino","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Sarajevo","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Saratov","SART","Saratov Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Europe/Simferopol","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Skopje","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Sofia","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Stockholm","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Tallinn","EET","Eastern European Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Europe/Tirane","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Ulyanovsk","ULYT","Ulyanovsk Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Europe/Uzhgorod","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Vaduz","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Vatican","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Vienna","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Vilnius","EET","Eastern European Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Europe/Volgograd","VOLT","Volgograd Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Europe/Warsaw","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Zagreb","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Europe/Zaporozhye","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+03:00:00","-1;0;10","+04:00:00"
"Europe/Zurich","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Indian/Antananarivo","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Indian/Chagos","IOT","Indian Ocean Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Indian/Christmas","CXT","Christmas Island Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Indian/Cocos","CCT","Cocos Islands Time","","","+06:30:00","+00:00:00","","","","+00:00:00"
"Indian/Comoro","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Indian/Kerguelen","TFT","French Southern and Antarctic Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Indian/Mahe","SCT","Seychelles Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Indian/Maldives","MVT","Maldives Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Indian/Mauritius","MUT","Mauritius Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Indian/Mayotte","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Indian/Reunion","RET","Reunion Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Apia","WST","West Samoa Time","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Auckland","NZST","New Zealand Standard Time","NZDT","New Zealand Daylight Time","+12:00:00","+01:00:00","1;0;10","+02:00:00","3;0;3","+03:00:00"
"Pacific/Bougainville","BST","Bougainville Standard Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Chatham","CHAST","Chatham Standard Time","CHADT","Chatham Daylight Time","+12:45:00","+01:00:00","1;0;10","+02:45:00","3;0;3","+03:45:00"
"Pacific/Chuuk","CHUT","Chuuk Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Easter","EAST","Easter Island Standard Time","EASST","Easter Island Summer Time","-06:00:00","+01:00:00","2;6;10","+22:00:00","2;6;3","+22:00:00"
"Pacific/Efate","VUT","Vanuatu Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Enderbury","PHOT","Phoenix Islands Time","","","+13:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Fakaofo","TKT","Tokelau Time","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Fiji","FJT","Fiji Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Funafuti","TVT","Tuvalu Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Galapagos","GALT","Galapagos Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Gambier","GAMT","Gambier Time","","","-09:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Guadalcanal","SBT","Solomon Islands Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Guam","ChST","Chamorro Standard Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Honolulu","HST","Hawaii-Aleutian Standard Time","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Johnston","HST","Hawaii-Aleutian Standard Time","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kanton","KANT","Kanton Time","","","+13:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kiritimati","LINT","Line Islands Time","","","+14:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kosrae","KOST","Kosrae Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kwajalein","MHT","Marshall Islands Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Majuro","MHT","Marshall Islands Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Marquesas","MART","Marquesas Time","","","-09:30:00","+00:00:00","","","","+00:00:00"
"Pacific/Midway","SST","Samoa Standard Time","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Nauru","NRT","Nauru Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Niue","NUT","Niue Time","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Norfolk","NFT","Norfolk Time","","","+11:30:00","+00:00:00","","","","+00:00:00"
"Pacific/Noumea","NCT","New Caledonia Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pago_Pago","SST","Samoa Standard Time","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Palau","PWT","Palau Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pitcairn","PST","Pitcairn Standard Time","","","-08:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pohnpei","PONT","Pohnpei Standard Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Ponape","PONT","Ponape Time","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Port_Moresby","PGT","Papua New Guinea Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Rarotonga","CKT","Cook Islands Time","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Saipan","ChST","Chamorro Standard Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tahiti","TAHT","Tahiti Time","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tarawa","GILT","Gilbert Islands Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tongatapu","TOT","Tonga Time","","","+13:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Truk","TRUT","Truk Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Wake","WAKT","Wake Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Wallis","WFT","Wallis and Futuna Time","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Yap","YAPT","Yap Time","","","+10:00:00","+00:00:00","","","","+00:00:00"
"UTC","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"GMT","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+1","GMT-1","Greenwich Mean Time -1 Hour","","","-01:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+2","GMT-2","Greenwich Mean Time -2 Hours","","","-02:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+3","GMT-3","Greenwich Mean Time -3 Hours","","","-03:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+4","GMT-4","Greenwich Mean Time -4 Hours","","","-04:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+5","GMT-5","Greenwich Mean Time -5 Hours","","","-05:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+6","GMT-6","Greenwich Mean Time -6 Hours","","","-06:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+7","GMT-7","Greenwich Mean Time -7 Hours","","","-07:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+8","GMT-8","Greenwich Mean Time -8 Hours","","","-08:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+9","GMT-9","Greenwich Mean Time -9 Hours","","","-09:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+10","GMT-10","Greenwich Mean Time -10 Hours","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+11","GMT-11","Greenwich Mean Time -11 Hours","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT+12","GMT-12","Greenwich Mean Time -12 Hours","","","-12:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT-1","GMT+1","Greenwich Mean Time +1 Hour","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT-2","GMT+2","Greenwich Mean Time +2 Hours","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT-3","GMT+3","Greenwich Mean Time +3 Hours","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT-4","GMT+4","Greenwich Mean Time +4 Hours","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Etc/GMT-5","GMT+5","Greenwich Mean Time +5 Hours","","","+05:00:00","+00:00:00","","","","+00:00:00"
