ncols	57
nrows	71
xllcorner	279635.000000
yllcorner	4850745.000000
cellsize	393.466398
NODATA_value	-9999.000000
251	250	248	245	242	243	245	246	246	243	237	233	229	220	214	216	215	215	229	251	254	220	225	240	259	274	253	218	207	207	211	229	243	247	267	288	255	218	223	247	273	289	255	237	260	292	312	313	305	292	288	287	278	269	259	253	252	
253	251	249	247	246	247	248	248	247	244	241	238	234	226	221	221	222	226	239	248	236	219	238	246	251	248	231	217	212	211	216	236	249	253	260	267	259	230	239	256	267	274	261	254	262	272	286	289	283	279	280	279	270	263	259	255	252	
254	254	252	251	252	253	252	251	250	247	246	247	246	243	243	241	242	248	253	248	232	231	254	253	247	234	221	229	239	230	227	241	247	248	251	256	274	289	266	265	260	256	276	287	267	258	255	251	252	262	266	262	257	255	256	254	251	
253	253	254	254	254	254	254	254	252	250	250	252	253	254	255	256	257	258	256	250	241	246	258	255	251	241	230	244	256	256	246	246	245	243	250	259	267	291	273	261	250	253	270	293	271	259	250	252	260	261	257	252	252	250	250	248	245	
253	254	255	256	256	256	255	255	253	251	253	255	256	257	259	261	262	260	255	249	247	254	264	259	255	256	254	249	248	259	272	255	249	252	260	257	247	250	269	253	241	250	260	276	274	255	243	255	271	268	259	251	246	244	247	247	243	
253	254	256	256	256	256	256	255	253	253	256	257	257	258	260	263	264	255	246	246	247	251	259	260	260	268	283	266	248	252	269	260	254	262	268	262	245	241	248	239	239	248	250	255	262	246	240	253	265	266	260	247	236	239	251	252	245	
253	255	256	256	257	257	256	255	254	256	258	258	257	258	259	260	261	247	235	234	234	236	241	246	253	263	278	290	264	253	262	278	269	266	266	275	269	244	234	218	230	247	248	250	248	232	238	252	256	252	247	237	230	238	250	248	237	
253	255	256	256	257	257	257	255	255	257	258	258	257	257	257	257	256	248	242	237	230	228	233	231	235	248	257	265	271	265	266	281	282	266	255	256	268	250	226	214	218	240	245	248	244	228	245	254	250	241	233	227	231	243	244	236	230	
253	255	256	256	257	257	256	256	255	257	259	259	257	256	255	256	255	256	263	260	247	241	239	231	229	237	239	239	251	267	274	287	287	267	252	244	235	211	184	207	222	238	247	249	244	245	263	259	248	238	227	226	242	251	241	237	238	
253	255	256	256	257	257	256	255	255	257	260	258	256	255	256	256	257	258	262	267	267	263	252	242	240	237	234	234	234	247	268	285	284	273	260	246	232	211	171	196	233	251	262	259	247	257	273	269	254	246	233	236	249	254	249	248	249	
